symbol,date,value
usa.sp.pop.grow,6/15/60,1.70199
usa.sp.pop.grow,6/15/61,1.65773
usa.sp.pop.grow,6/15/62,1.538
usa.sp.pop.grow,6/15/63,1.43916
usa.sp.pop.grow,6/15/64,1.38905
usa.sp.pop.grow,6/15/65,1.25017
usa.sp.pop.grow,6/15/66,1.15489
usa.sp.pop.grow,6/15/67,1.08888
usa.sp.pop.grow,6/15/68,0.99846
usa.sp.pop.grow,6/15/69,0.97724
usa.sp.pop.grow,6/15/70,1.165
usa.sp.pop.grow,6/15/71,1.26433
usa.sp.pop.grow,6/15/72,1.07052
usa.sp.pop.grow,6/15/73,0.95448
usa.sp.pop.grow,6/15/74,0.91366
usa.sp.pop.grow,6/15/75,0.98599
usa.sp.pop.grow,6/15/76,0.95022
usa.sp.pop.grow,6/15/77,1.00577
usa.sp.pop.grow,6/15/78,1.05957
usa.sp.pop.grow,6/15/79,1.10358
usa.sp.pop.grow,6/15/80,0.95959
usa.sp.pop.grow,6/15/81,0.98142
usa.sp.pop.grow,6/15/82,0.95332
usa.sp.pop.grow,6/15/83,0.91438
usa.sp.pop.grow,6/15/84,0.86582
usa.sp.pop.grow,6/15/85,0.88613
usa.sp.pop.grow,6/15/86,0.92416
usa.sp.pop.grow,6/15/87,0.89383
usa.sp.pop.grow,6/15/88,0.908
usa.sp.pop.grow,6/15/89,0.94441
usa.sp.pop.grow,6/15/90,1.12965
usa.sp.pop.grow,6/15/91,1.33626
usa.sp.pop.grow,6/15/92,1.38689
usa.sp.pop.grow,6/15/93,1.31868
usa.sp.pop.grow,6/15/94,1.2263
usa.sp.pop.grow,6/15/95,1.19079
usa.sp.pop.grow,6/15/96,1.16341
usa.sp.pop.grow,6/15/97,1.20396
usa.sp.pop.grow,6/15/98,1.16571
usa.sp.pop.grow,6/15/99,1.14834
usa.sp.pop.grow,6/15/00,1.11277
usa.sp.pop.grow,6/15/01,0.98974
usa.sp.pop.grow,6/15/02,0.9278
usa.sp.pop.grow,6/15/03,0.85948
usa.sp.pop.grow,6/15/04,0.92548
usa.sp.pop.grow,6/15/05,0.92171
usa.sp.pop.grow,6/15/06,0.96425
usa.sp.pop.grow,6/15/07,0.95106
usa.sp.pop.grow,6/15/08,0.94587
usa.sp.pop.grow,6/15/09,0.87665
usa.sp.pop.grow,6/15/10,0.82962
usa.sp.pop.grow,6/15/11,0.72679
usa.sp.pop.grow,6/15/12,0.7336
usa.sp.pop.grow,6/15/13,0.69286
usa.sp.pop.grow,6/15/14,0.73336
usa.sp.pop.grow,6/15/15,0.73622
usa.sp.pop.grow,6/15/16,0.72468
usa.sp.pop.grow,6/15/17,0.63264
usa.sp.pop.grow,6/15/18,0.52644
usa.sp.pop.grow,6/15/19,0.45538
usa.sp.pop.grow,6/15/20,0.35091